identyfikator,lokalizacja,x,y
LOK001,Park Kuzniczki,54.382059,18.607072
LOK002,Plac Wybickiego,54.384332,18.609666
LOK003,Stacja SKM Wrzeszcz - Plac Koodziejskiego,54.381246,18.604800
LOK004,Park Grodzisko,54.351781,18.637527
LOK005,Stacja SKM Oliwa,54.410291,18.571996
LOK006,Plac Dwoch Miast,54.425453,18.580939
LOK007,Dworzec PKS,54.356219,18.642615
LOK008,Stacja PKP Gdansk Glowny,54.355741,18.645152
LOK009,Park im. Reagana lok. III,54.412251,18.614494
LOK010,Przystan Zabi Kruk,54.341718,18.649283
LOK011,Przystan Sienna Grobla,54.353616,18.662718
LOK012,Przystan Tamka,54.357325,18.712630
LOK013,Przystan Nadwilanska,54.343788,18.825445
LOK014,Nowy Port CAE Laznia 2,54.399175,18.670942
LOK015,Skwer ul. Marynarki Polskiej,54.399307,18.668656
LOK016,Reduta Wilk,54.339134,18.654492
LOK017,Zieleniec przy ul. Jamuzniczej,54.341496,18.656241
LOK018,Park de Gaulle'a,54.379566,18.602758
LOK019,Park ks. Kanonika Orkusza,54.391454,18.647193
LOK020,Brzezno Molo,54.413412,18.624443
LOK021,Targ Weglowy,54.350781,18.647564
LOK022,Plac Zebran Ludowych,54.361623,18.641134
LOK023,Plaza Jelitkowo,54.423563,18.601619
LOK024,Plaza Brzezno I,54.411005,18.630143
LOK025,Park Brzeznienski im. Haffnera,54.407297,18.646727
LOK026,Plaza Stogi,54.374663,18.731097
LOK027,Plaza Wyspa Sobieszewska,54.347626,18.875126
LOK028,Park Oliwski,54.410937,18.561474
LOK029,Park im. Reagana lok. I,54.418374,18.611536
LOK030,Park im. Jana Pawa II,54.400374,18.605942
LOK031,Park Millenium Gdanska,54.397047,18.613233
LOK032,Park Akademicki,54.371423,18.623579
LOK033,Park im. Steffena,54.364161,18.639622
LOK034,Park Oplywu Motawy,54.339056,18.654320
LOK035,Park Orunski,54.321974,18.628748
LOK036,Akademia Wychowania Fizycznego i Sportu,54.419620,18.562336
LOK037,Piwna,54.349951,18.651500
LOK038,UMG Medyk,54.360654,18.629263
LOK039,ZOO Oliwa,54.413334,18.533657
LOK040,Twierdza Wisloujcie,54.395883,18.679132
LOK041,Pomnik Polegych Stoczniowcow,54.360250,18.649674
LOK042,Gora Gradowa,54.356980,18.640007
LOK043,Skwer przed Krewetka,54.355902,18.646453
LOK044,Zieleniec Heweliusza,54.354097,18.649797
LOK045,Skwer Czesawa Niemena,54.352332,18.644734
LOK046,Park Hucisko,54.351473,18.644714
LOK047,Targ Drzewny,54.352481,18.648756
LOK048,Brama Wyzynna,54.350115,18.646873
LOK049,Dom Harcerza,54.348691,18.647359
LOK050,Dluga i Dlugi Targ,54.348493,18.653586
LOK051,Szeroka I,54.351176,18.653806
LOK052,Park im. Reagana lok. II,54.415142,18.601591
LOK053,Grobla,54.351176,18.653806
LOK054,Bazylika Mariacka,54.350319,18.653520
LOK055,Szeroka II,54.351176,18.653806
LOK056,Mariacka,54.349512,18.656231
LOK057,Sw. Ducha,54.350084,18.655732
LOK058,Stagiewna,54.347811,18.655881
LOK059,Dlugie Pobrzeze,54.347811,18.655881
LOK060,Rybackie Pobrzeze,54.352550,18.659291
LOK061,Skwer przy Polskiej Filharmonii Batyckiej,54.352550,18.659291
LOK062,Skwer przy Muzeum Narodowym,54.345712,18.646582
LOK063,Deptak - Zabianka,54.420797,18.573642
LOK064,Westerplatte,54.406652,18.675614
LOK065,Skwer przy PGE-ARENA,54.391244,18.642033
LOK066,Skwer przy ul. Gocinnej,54.323216,18.631922
LOK067,Skwer przy ul. Wodopoj,54.355481,18.651640
LOK068,Dlugie Pobrzeze - Brama Sw. Ducha,54.34986108533562,18.657202314849883
LOK069,Marina Szafarnia,54.349735950244344,18.6601781079346
LOK070,Park Przymorze,54.41965785120001,18.589187722228985
LOK071,Plaza Brzezno II,54.408470886390674,18.64201595368354
LOK072,Stacja SKM - Gdansk Politechnika,54.37428687238104,18.627342084130873
LOK073,Zieleniec przy al. Hallera,54.37905752710682,18.622894763946533
LOK074,Zieleniec przy ul. Bohomolca,54.38903072879635,18.625501542852817
LOK075,Zieleniec przy ul. Buczka,54.342154,18.627483
LOK076,Zieleniec przy ul. Pomorskiej,54.42320351982278,18.59471018305055
LOK077,Zieleniec przy ul. Wilanowskiej,54.33324466719453,18.601752127508575
LOK078,Zieleniec Piecki-Migowo,54.34808415979418,18.569719468292305
LOK079,Skwer przy al. Zonierzy Wykletych,54.383064,18.597873
LOK080,Skwer przy ul. Siennickiej,54.356698,18.679578
LOK081,Skwer przy ul. Zeromskiego,54.406567266498385,18.562437915344276
LOK082,Latarnia Morska w Nowym Porcie,54.407896,18.660477
LOK083,Aktiv Park Przymorze,54.413791,18.591734
LOK084,Skatepark Osowa,54.421246,18.481016
LOK085,Plac Biskupa O'Rourke.,54.383005,18.626097
LOK086,Plac gen. Maczka,54.38673116053939,18.58265766004945
LOK087,Plac Pisudzkiego,54.386259387873366,18.591384155819696
LOK088,Park w Jasieniu,54.343076098094926,18.55458317130274
LOK089,Park przy ul. Chirona,54.425846107747915,18.46747141114497
LOK090,Park przy ul. Blizniat,54.42715739017063,18.482234776196264
LOK091,Park nad Strzyza,54.38050662499166,18.618300401574743
LOK092,Park Zielony,54.36747954135278,18.630102727044686
LOK093,Park Siennicki,54.34976589606949,18.67082749178769
LOK094,Park Bema,54.35133779224704,18.632005893701148
LOK095,Park w Krolewskiej Dolinie,54.36663926827034,18.610728674591087
LOK096,Park Uphagena,54.3758918496256,18.617425970361296
LOK097,Park Jakowej Doliny,54.369744413182275,18.5961689118119
LOK098,Wzgorze Pacholek,54.411236776170426,18.552292549151616
LOK099,Stacja Strzyza,54.391201674503705,18.578359043953014
LOK100,Stacja SKM Zabianka-AWFiS,54.420901743403256,18.568152862964666
